Entity,Code,Year,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ
Algeria,DZA,1965,15.40526427,7.430505944,0.814100651,0,1.111112,0,0,0
Algeria,DZA,1966,20.2727215,7.719256175,0.790840633,0,0.9861119,0,0,0
Algeria,DZA,1967,18.94204626,7.488255991,0.604760484,0,1.1388898,0,0,0
Algeria,DZA,1968,20.16731752,7.873256299,0.639650512,0,1.56389014,0,0,0
Algeria,DZA,1969,21.30594704,10.35169578,0.814100651,0,1.00277858,0,0,0
Algeria,DZA,1970,24.34770031,9.730882785,0.965290772,0,1.6111124,0,0,0
Algeria,DZA,1971,27.44007223,11.04950884,0.267490214,0,0.9166674,0,0,0
Algeria,DZA,1972,30.12143826,12.83013526,0.232600186,0,1.3750011,0,0,0
Algeria,DZA,1973,32.90037132,17.85920179,0.267490214,0,2.08889056,0,0,0
Algeria,DZA,1974,36.54387007,20.67451654,0.220970177,0,1.38055666,0,0,0
Algeria,DZA,1975,40.6307,28.49002279,0.279120223,0,0.91111184,0,0,0
Algeria,DZA,1976,46.71776987,33.68752695,0.546610437,0,1.08055642,0,0,0
Algeria,DZA,1977,52.80653586,35.90127872,0.709430568,0,0.74722282,0,0,0
Algeria,DZA,1978,54.60798841,57.65379612,0.360530288,0,0.694445,0,0,0
Algeria,DZA,1979,65.31866948,81.52381522,0.83736067,0,0.80833398,0,0,0
Algeria,DZA,1980,66.20248296,109.4363375,0.744320595,0,0.71388946,0,0,0
Algeria,DZA,1981,71.32312984,142.2576138,0.523350419,0,1.01666748,0,0,0
Algeria,DZA,1982,75.57347824,161.4113791,9.711057769,0,1.33055662,0,0,0
Algeria,DZA,1983,84.89248903,176.7151414,8.664356931,0,0.6527783,0,0,0
Algeria,DZA,1984,94.00208159,155.2513742,9.606387685,0,1.25555656,0,0,0
Algeria,DZA,1985,96.5538803,153.807623,10.02506802,0,1.79444588,0,0,0
Algeria,DZA,1986,98.02133258,168.4376348,10.29255823,0,0.694445,0,0,0
Algeria,DZA,1987,99.10060317,172.2876378,12.30454984,0,1.38611222,0,0,0
Algeria,DZA,1988,99.17267795,194.1364053,11.57185926,0,0.50833374,0,0,0
Algeria,DZA,1989,103.9367443,182.6826461,9.780837825,0,0.62777828,0,0,0
Algeria,DZA,1990,111.8117053,195.0989061,7.664176131,0,0.3750003,0,0,0
Algeria,DZA,1991,110.6278746,192.6926542,7.908406327,0,0.81388954,0,0,0
Algeria,DZA,1992,111.2927446,198.9489092,9.397047518,0,0.55277822,0,0,0
Algeria,DZA,1993,110.7549653,178.5438928,7.652546122,0,0.98055634,0,0,0
Algeria,DZA,1994,106.0509807,188.1689005,7.210605768,0,0.46111148,0,0,0
Algeria,DZA,1995,103.1423653,202.2214118,7.210605768,0,0.53611154,0,0,0
Algeria,DZA,1996,98.42215846,207.7076662,3.395962717,0,0.3750003,0,0,0
Algeria,DZA,1997,97.64349756,194.0401552,5.954564764,0,0.2083335,0,0,0
Algeria,DZA,1998,100.6588286,200.6814105,6.373245099,0,0.5972227,0,0,0
Algeria,DZA,1999,98.89842495,205.1089141,6.826815461,0,0.56388934,0,0,0
Algeria,DZA,2000,103.1325622,191.0130903,5.640554512,0,0.15000012,0,0,0
Algeria,DZA,2001,106.7754193,197.3222829,6.51280521,0,0.19042223,0,0,0
Algeria,DZA,2002,118.3973244,194.8390309,8.548056838,0,0.156290448,0,0,0
Algeria,DZA,2003,123.1742166,205.9318522,7.047785638,0,0.721955706,0,0,0
Algeria,DZA,2004,128.7469333,211.899357,8.408496727,0,0.679459142,0,0,0
Algeria,DZA,2005,134.2134923,223.5600538,6.908225527,0,1.493687904,0,0,0
Algeria,DZA,2006,139.8458326,228.4976828,10.25766821,0,0.581635685,0,0,0
Algeria,DZA,2007,156.3901216,233.8070016,8.803917043,0,0.60031298,0,0,0
Algeria,DZA,2008,169.9160323,244.0420702,8.803917043,0,0.747050287,0,0,0
Algeria,DZA,2009,180.1345736,262.1178347,5.652184522,0,0.89722294,0,0,0
Algeria,DZA,2010,180.048999,253.2724526,3.605302884,0.023727013,0.45107398,0,0,0
Algeria,DZA,2011,192.2278068,267.9698394,3.198252559,0.046954115,0.979573954,0,0,0
Algeria,DZA,2012,204.3954313,298.740989,3.395962717,0.06883206,1.001970499,0,0,0
Algeria,DZA,2013,213.5765559,321.215382,1.83754147,0.07322295,0.253464058,0,0,0
Algeria,DZA,2014,221.9253303,360.9185387,2.081771665,0.152694733,0.491168058,0,0.002544912,0
Algeria,DZA,2015,236.1486722,379.2253034,1.546791237,0.146726308,0.36681577,0,0.048065515,0
Algeria,DZA,2016,229.4412229,385.9628088,0.569870456,0.616124753,0.181065234,0,0.04791201,0
Algeria,DZA,2017,225.3224958,394.6253157,2.116661693,1.260001008,0.140000112,0,0.047500038,0
Algeria,DZA,2018,230.3539722,434.0878473,5.815004652,1.498685409,0.290789706,0,0.024853821,0
Algeria,DZA,2019,244.9271739,452.3753619,5.815004652,1.522874358,0.375147098,0,0.024762185,0
Angola,AGO,1965,,,,,,,,
Angola,AGO,1966,,,,,,,,
Angola,AGO,1967,,,,,,,,
Angola,AGO,1968,,,,,,,,
Angola,AGO,1969,,,,,,,,
Angola,AGO,1970,,,,,,,,
Angola,AGO,1971,,,,,,,,
Angola,AGO,1972,,,,,,,,
Angola,AGO,1973,,,,,,,,
Angola,AGO,1974,,,,,,,,
Angola,AGO,1975,,,,,,,,
Angola,AGO,1976,,,,,,,,
Angola,AGO,1977,,,,,,,,
Angola,AGO,1978,,,,,,,,
Angola,AGO,1979,,,,,,,,
Angola,AGO,1980,,,,,,,,
Angola,AGO,1981,,,,,,,,
Angola,AGO,1982,,,,,,,,
Angola,AGO,1983,,,,,,,,
Angola,AGO,1984,,,,,,,,
Angola,AGO,1985,,,,,,,,
Angola,AGO,1986,,,,,,,,
Angola,AGO,1987,,,,,,,,
Angola,AGO,1988,,,,,,,,
Angola,AGO,1989,,,,,,,,
Angola,AGO,1990,,,,,,,,
Angola,AGO,1991,,,,,,,,
Angola,AGO,1992,,,,,,,,
Angola,AGO,1993,,,,,,,,
Angola,AGO,1994,,,,,,,,
Angola,AGO,1995,,,,,,,,
Angola,AGO,1996,,,,,,,,
Angola,AGO,1997,,,,,,,,
Angola,AGO,1998,,,,,,,,
Angola,AGO,1999,,,,,,,,
Angola,AGO,2000,,,,,,,,
Angola,AGO,2001,,,,,,,,
Angola,AGO,2002,,,,,,,,
Angola,AGO,2003,,,,,,,,
Angola,AGO,2004,,,,,,,,
Angola,AGO,2005,,,,,,,,
Angola,AGO,2006,,,,,,,,
Angola,AGO,2007,,,,,,,,
Angola,AGO,2008,,,,,,,,
Angola,AGO,2009,,,,,,,,
Angola,AGO,2010,,,,,,,,
Angola,AGO,2011,,,,,,,,
Angola,AGO,2012,,,,,,,,
Angola,AGO,2013,,,,,,,,
Angola,AGO,2014,,,,,,,,
Angola,AGO,2015,,,,,,,,
Angola,AGO,2016,,,,,,,,
Angola,AGO,2017,,,,,,,,
Angola,AGO,2018,,,,,,,,
Angola,AGO,2019,,,,,,,,
Argentina,ARG,1965,260.1395019,41.23403299,8.455055951,0,3.4027805,0,0,0
Argentina,ARG,1966,268.5650169,44.65723573,6.971823876,0,3.44722498,0,0,0
Argentina,ARG,1967,275.1868465,46.69948736,7.840403261,0,3.53055838,0,0,0
Argentina,ARG,1968,281.0077021,51.9996166,7.619041371,0,4.16111444,0,0,0
Argentina,ARG,1969,291.9819875,51.80511644,9.122177294,0,3.73333632,0,0,0
Argentina,ARG,1970,262.1600118,58.54454684,11.72260776,0,4.3194479,0,0,0.132058415
Argentina,ARG,1971,279.975334,63.20282556,10.27755025,0,4.28889232,0,0,0.138512927
Argentina,ARG,1972,280.357476,70.92448174,8.65130182,0,4.17778112,0,0,0.178758898
Argentina,ARG,1973,281.3181303,80.70783957,9.496529576,0,8.31667332,0,0,0.136229093
Argentina,ARG,1974,282.3041956,85.42446834,11.82593132,0,13.96667784,2.87778008,0,0.139076976
Argentina,ARG,1975,265.9404794,87.52507002,11.5109495,0,14.44723378,6.99167226,0,0.152563015
Argentina,ARG,1976,276.2619241,98.51432881,11.64259452,0,13.92501114,7.14445016,0,0.13945231
Argentina,ARG,1977,291.2398785,102.8905823,11.00851189,0,16.01667948,4.54722586,0,0.149597641
Argentina,ARG,1978,291.2292652,100.0703301,13.41920609,0,21.53335056,8.04445088,0,0.150379737
Argentina,ARG,1979,308.0488837,102.8905823,12.50168383,0,29.6111348,7.47778376,0,0.234427308
Argentina,ARG,1980,288.2585562,112.1293397,11.14459854,0,42.06670032,6.5000052,0,0.23958788
Argentina,ARG,1981,267.2339266,117.1863437,10.56047566,0,40.7916993,7.82222848,0,0.207562666
Argentina,ARG,1982,256.3212353,133.1353565,10.66608468,0,48.86948354,5.1944486,0,0.266423728
Argentina,ARG,1983,260.9381168,143.1521145,9.679970969,0,51.16392982,9.4583409,0,0.381430261
Argentina,ARG,1984,245.9879571,152.3908719,7.185229442,0,55.2222664,12.89167698,0,0.270535749
Argentina,ARG,1985,222.503863,155.6973746,10.59961424,0,57.35004588,16.01667948,0,0.287004714
Argentina,ARG,1986,255.5806467,168.2426346,12.10935902,0,58.35838002,15.86390158,0,0.297441685
Argentina,ARG,1987,272.7832099,168.3398847,13.43968353,0,60.66949298,17.9583477,0,0.300435861
Argentina,ARG,1988,272.0294821,196.6396573,13.77236066,0,41.75836674,16.10556844,0,0.336433734
Argentina,ARG,1989,246.7898594,206.5591652,14.9027801,0,36.0139177,13.99723342,0,0.331602787
Argentina,ARG,1990,233.4432762,197.3204079,12.266142,0,49.65559528,20.22501618,0,0.296564914
